from,to,relation,awardyear,deathyear
alce,lust,3,2018,
alce,toli,3,2018,
alce,b43,1,2018,
alce,luli,3,2014,
alce,mapr,3,2014,
alce,b12,1,2014,
alho,toca,3,2014,
alho,b15,1,2014,
algu,allo,3,2014,
algu,b14,1,2014,
alla,dmgo,3,2012,
alla,seni,3,2012,
alla,b06,1,2012,
allo,b14,1,2014,
anor,hene,3,1995,
anor,arwu,3,1995,
anor,b24,1,1995,
anst,mapr,3,1991,
anst,b21,1,1991,
anli,atwh,3,1998,
anli,b33,1,1998,
anpa,frma,3,1994,
anpa,b19,1,1994,
anmo,libi,3,2015,
anmo,disi,3,2015,
anmo,jesu,3,2015,
anmo,b10,1,2015,
arwu,hene,3,1995,
arwu,b24,1,1995,
atwh,b33,3,1998,
atwh,b53,2,2012,
bedi,olfa,3,2010,
bedi,nifa,3,2010,
bedi,sevi,3,2010,
bedi,b34,1,2010,
begu,frde,3,2017,
begu,hemi,3,2017,
begu,b47,1,2017,
bjar,olli,3,2011,
bjar,b35,1,2011,
bjar,b49,2,2012,
bode,deur,3,2009,
bode,b38,1,2009,
bolo,mapr,3,2006,
bolo,b18,1,2006,
brno,jebr,3,2009,
brno,kyde,3,2009,
brno,b37,1,2009,
clal,b26,1,1993,
dala,b44,1,2018,
dala,b50,2,2019,
dala,jero,3,2019,
deur,b38,1,2009,
dijo,sebo,3,2012,
dijo,semo,3,2012,
dijo,sera,3,2012,
dijo,b20,1,2012,
disi,libi,3,2015,
disi,jesu,3,2015,
disi,b10,1,2016,
dmgo,seni,3,2012,
dmgo,seni,3,2016,
dmgo,dmgr,3,2016,
dmgo,b33,1,2016,
dmgo,b06,1,2012,
dmgr,dmgo,3,2016,
dmgr,seni,3,2016,
dmgr,b33,1,2016,
frma,b19,1,1994,
frwi,stsw,3,2011,
frwi,mari,3,2011,
frwi,b27,1,2011,
frde,hemi,3,2017,
frde,b47,1,2017,
fuic,yusa,3,2008,
fuic,kaam,3,2008,
fuic,b42,1,2008,
grzi,maal,3,2013,
grzi,b04,1,2013,
haau,maau,3,2013,
haau,sian,3,2013,
haau,b01,1,2013,
haau,b45,1,2018,
haau,b50,2,2019,
haau,jero,3,2019,
hake,mapr,3,2015,
hake,mape,3,2015,
hake,urno,3,2015,
hake,b09,1,2015,
hake,jowh,3,2012,
hake,kyde,3,2012,
hake,b07,1,2012,
hene,b24,1,1995,
hemi,b47,1,2017,
hima,yaha,3,2012,
hima,taao,3,2012,
hima,b05,1,2012,
iawe,rasl,3,2013,
iawe,b02,1,2013,
iwwo,thhu,3,2000,
iwwo,b30,1,2000,
jebr,kyde,3,2009,
jebr,b37,1,2009,
jero,b50,2,2019,
jesu,libi,3,2015,
jesu,b10,1,2015,
jowh,kyde,3,2012,
jowh,b07,1,2012,
juko,waba,3,2003,
juko,b25,1,2003,
kayo,yaok,3,2010,
kayo,b46,1,2010,
kaam,yusa,3,2008,
kaam,b42,1,2008,
kahi,kena,3,2017,
kahi,b28,1,2017,
kahi,keta,3,2008,
kahi,b20,1,2008,
keta,b20,1,2008,
keta,b54,2,2015,
kena,b28,1,2017,
kyde,b07,1,2012,
kyde,b37,1,2009,
kyde,b07,2,2016,
lida,sefo,3,1999,
lida,b17,1,1999,
libi,b10,1,2015,
luli,b12,1,2014,
luli,mapr,3,2014,
lust,nema,3,2011,
lust,b41,1,2011,
lust,toli,3,2018,
lust,b43,1,2018,
mape,mapr,3,2015,
mape,urno,3,2015,
mape,b09,1,2015,
maho,zdhr,3,2013,
maho,b13,1,2013,
maho,zdha,3,2017,
maho,b39,1,2017,
maal,b04,3,2013,
mari,stsw,3,2011,
mari,b27,1,2011,
mapr,b21,1,1991,
mapr,b18,1,2006,
mapr,b12,1,2014,
mapr,urno,3,2015,
mapr,b09,1,2015,
maau,sian,3,2013,
maau,b01,1,2013,
mipi,visp,3,1992,
mipi,b36,1,1992,
mifo,para,3,2002,
mifo,b31,1,2002,
mifo,para,3,2012,
mifo,b29,1,2012,
mifo,para,3,2015,
mifo,b11,1,2015,
myfo,myba,3,2015,
myfo,b13,1,2015,
myba,b13,3,2015,
nema,b41,1,2011,
nibu,para,3,2016,
nibu,b48,1,2016,
nifa,olfa,3,2010,
nifa,sevi,3,2010,
nifa,b34,1,2010,
olli,b35,1,2011,
olfa,b34,1,2010,
olfa,sevi,3,2010,
para,b31,1,2002,
para,b29,1,2012,
para,b11,1,2015,
para,b48,1,2016,
rasl,b02,1,2013,
rial,saal,3,2012,
rial,b08,1,2012,
ruex,b22,1,1997,
ruex,b40,1,2004,
saal,b08,1,2012,
scad,b07,2,2016,
sevi,b34,1,2010,
sefo,b17,1,1999,
sebo,semo,3,2012,
sebo,sera,3,2012,
sebo,b20,1,2012,
semo,b20,1,2012,
semo,sera,3,2012,
sera,b20,1,2012,
seni,b06,1,2012,
seni,b33,1,2016,
sian,uest,3,2008,
sian,b32,1,2008,
sian,b01,1,2013,
stbe,yagr,3,2013,
stbe,b03,1,2013,
stho,vian,3,2005,
stho,b08,1,2005,
stsw,b27,1,2011,
taao,b05,1,2012,
taao,yaha,3,2012,
thhu,b30,1,2000,
toli,b43,1,2018,
tohu,vafu,3,1996,
tohu,b16,1,1996,
tohu,b51,2,2009,
toca,b15,1,2014,
uest,b32,1,2008,
uest,b03,1,2013,
uest,b47,2,2017,
urno,b09,1,2015,
vafu,b16,1,1996,
vafu,b52,2,1996,
vian,b08,1,2005,
visp,b36,1,1992,
waba,b21,3,2001,
waba,b25,1,2003,
yagr,b03,1,2013,
yaha,b05,1,2012,
yaok,b46,1,2010,
yusa,b42,1,2008,
zdha,b39,1,2017,
zdhr,b13,3,2013,
zdhr,b39,2,2013,
