id,name,type,sex,nationality,mountain range,winner
alce,Aleš Česen,1,2,10,99,1
alho,Alex Honnold,1,2,4,99,1
algu,Alexander Gukov,1,2,8,99,1
alla,Alexander Lange,1,2,8,99,1
allo,Alexey Lonchinsky,1,2,8,99,1
anor,Andreas Orgler,1,2,1,99,1
anst,Andrej Stremfelj,1,2,10,99,1
anli,Andrew Lindblade,1,2,5,99,1
anpa,Andy Parkin,1,2,9,99,1
anmo,Antoine Moineville,1,2,6,99,1
arwu,Arthur Wutscher,1,2,1,99,1
atwh,Athol Whimp,1,2,5,99,1
bedi,Ben Ditto,1,2,4,99,1
begu,Benjamin Guigonnet,1,2,6,99,1
bjar,Bjorn Eivind Artun,1,2,11,99,1
bode,Boris Dedeshko,1,2,16,99,1
bolo,Boris Lorencic,1,2,10,99,1
brno,Bruce Normand,1,2,17,99,1
clal,Club Alpin Francais,1,99,99,99,1
dala,David Lama,1,2,1,99,1
deur,Denis Urubko,1,2,16,99,1
dijo,Didier Jourdain,1,2,6,99,1
disi,Diego Simari,1,2,14,99,1
dmgo,Dmitry Golovchenko,1,2,8,99,1
dmgr,Dmitry Grigoriev,1,2,8,99,1
frma,Francois Marcigny,1,2,6,99,1
frwi,Freddie Wilkinson,1,2,4,99,1
frde,Frederic Degoulet,1,2,6,99,1
fuic,Fumitaka Ichimura,1,2,7,99,1
grzi,Graham Zimmerman,1,2,5,99,1
haau,Hansjoerg Auer,1,2,1,99,1
hake,Hayden Kennedy,1,2,4,99,1
hene,Heli Neswadba,1,2,1,99,1
hemi,Helias Millerioux,1,2,6,99,1
hima,Hiroyoshi Manome,1,2,7,99,1
iawe,Ian Welsted,1,2,2,99,1
iwwo,Iwan Wolf,1,2,3,99,1
jebr,Jed Brown,1,2,4,99,1
jero,Jess Roskelly,1,2,4,99,2
jesu,Jerome Sullivan,1,2,4,99,1
jowh,Josh Wharton,1,2,4,99,1
juko,Juri Koschelenko,1,2,8,99,1
kayo,Katsutaka Yokoyama,1,2,7,99,1
kaam,Kazuki Amano,1,2,7,99,1
kahi,Kazuya Hiraide,1,2,7,99,1
keta,Kei Taniguchi,1,1,7,99,1
kena,Kenro Nakajima,1,2,7,99,1
kyde,Kyle Dempster,1,2,4,99,1
lida,Lionel Daudet,1,2,6,99,1
libi,Lise Billon,1,1,6,99,1
luli,Luka Lindič,1,2,10,99,1
lust,Luka Strazar,1,2,10,99,1
mape,Manu Pellissier,1,2,6,99,1
maho,Marek Holecek,1,2,13,99,1
maal,Mark Allen,1,2,4,99,1
mari,Mark Richey,1,2,4,99,1
mapr,Marko Prezelj,1,2,10,99,1
maau,Matthias Auer,1,2,1,99,1
mipi,Michel Piola,1,2,3,99,1
mifo,Mick Fowler,1,2,9,99,1
myfo,Mychailo Fomin,1,2,18,99,1
myba,Mykyta Balabanow,1,2,18,99,1
nema,Nejc Marcic,1,2,10,99,1
nibu,Nick Bullock,1,2,9,99,1
nifa,Nicolas Favresse,1,2,12,99,1
olli,Ole Lied,1,2,11,99,1
olfa,Olivier Favresse,1,2,12,99,1
para,Paul Ramsden,1,2,9,99,1
rasl,Raphael Slawinski,1,2,2,99,1
rial,Rick Allen,1,2,9,99,1
ruex,Russische Expdition,1,99,8,99,1
saal,Sandy Allan,1,2,9,99,1
scad,Scott Adamson,1,2,4,99,2
sevi,Sean Villanueva,1,2,12,99,1
sefo,Sebastian Foissac,1,2,6,99,1
sebo,Sebastien Bohin,1,2,6,99,1
semo,Sebastien Moatti,1,2,6,99,1
sera,Sebastien Ratel,1,2,6,99,1
seni,Sergey Nilov,1,2,8,99,1
sian,Simon Anthamatten,1,2,3,99,1
stbe,Stéphane Benoist,1,2,6,99,1
stho,Steve House,1,2,4,99,1
stsw,Steve Swenson,1,2,4,99,1
taao,Tatsuya Aoki,1,2,7,99,1
thhu,Thomas Huber,1,2,15,99,1
toli,Tom Livingstone,1,2,9,99,1
tohu,Tomaz Humar,1,2,10,99,1
toca,Tommy Caldwell,1,2,4,99,1
uest,Ueli Steck,1,2,3,99,1
urno,Urban Novak,1,2,10,99,1
vafu,Vanja Furlan,1,2,10,99,1
vian,Vince Anderson,1,2,4,99,1
visp,Vincent Sprungli,1,2,6,99,1
waba,Walerie Babanow,1,2,8,99,1
yagr,Yannick Graziani,1,2,6,99,1
yaha,Yasuhiro Hanatani,1,2,7,99,1
yaok,Yasushi Okada,1,2,7,99,1
yusa,Yusuke Sato,1,2,7,99,1
zdha,Zdenek Hak,1,2,13,99,1
zdhr,Zdenek Hruby,1,2,13,99,1
b16,ama dablam,2,99,99,1,99
b03,annapurna,2,99,99,1,99
b17,burkett needle,2,99,99,2,99
b09,cerro kishtwar,2,99,99,1,99
b10,cerro riso patron,2,99,99,3,99
b38,cho oyu,2,99,99,1,99
b18,chomolhari,2,99,99,1,99
b19,col d´esperanza,2,99,99,3,99
b11,gave ding,2,99,99,1,99
b12,hagshu,2,99,99,1,99
b39,hidden peak,2,99,99,4,99
b40,jannu,2,99,99,1,99
b02,k6 westgipfel,2,99,99,4,99
b41,k7 westgipfel,2,99,99,4,99
b42,kalanka,2,99,99,1,99
b20,kamet,2,99,99,1,99
b21,kangchendzönga,2,99,99,1,99
b01,kunyang chhish,2,99,99,4,99
b05,kyashar,2,99,99,1,99
b43,latok 1,2,99,99,4,99
b44,lunag ri,2,99,99,1,99
b45,lupghar sar west,2,99,99,4,99
b22,makalu,2,99,99,1,99
b23,meru,2,99,99,1,99
b24,mount bradley,2,99,99,5,99
b04,mount laurens,2,99,99,6,99
b46,mount logan,2,99,99,7,99
b06,muztagh tower,2,99,99,4,99
b08,nanga parbat,2,99,99,1,99
b47,nupste 2,2,99,99,1,99
b25,nuptse shar 1,2,99,99,1,99
b48,nyainqentanglha,2,99,99,1,99
b07,ogre,2,99,99,4,99
b26,pamir,2,99,99,1,99
b27,saser kangri 2,2,99,99,4,99
b28,shispare,2,99,99,4,99
b29,shiva,2,99,99,1,99
b30,shivling,2,99,99,1,99
b31,siguniang shan,2,99,99,8,99
b13,talung,2,99,99,1,99
b32,tengkangpoche,2,99,99,1,99
b33,thalay sagar,2,99,99,1,99
b14,thamserku,2,99,99,1,99
b15,the fitz traverse,2,99,99,3,99
b34,tingmiakulugssuit,2,99,99,9,99
b35,torre egger,2,99,99,3,99
b36,torres del paine,2,99,99,3,99
b37,xuelian feng,2,99,99,10,99
b50,howse peak,2,99,99,12,99
b49,kjerag mountain,2,99,99,11,99
b51,langtang lirung,2,99,99,1,99
b52,mojstrovka,2,99,99,13,99
b53,darran mountain,2,99,99,14,99
b54,mount kurodake,2,99,99,15,99
